;NomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;Fornecedor;CNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
4844;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;307000000000.0;9559;0;3/3/2017 0:00;179.33;0.0;179.33;3;2017;0;;;1363513;5761.0;0.0;2408;6224597
4845;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;20622;0;2/14/2017 0:00;25.0;0.0;25.0;2;2017;0;;;1358292;5727.0;0.0;2408;6209262
4846;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;20955;0;2/18/2017 0:00;50.0;0.0;50.0;2;2017;0;;;1360764;5739.0;0.0;2408;6217335
4847;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;21714;0;3/2/2017 0:00;70.0;0.0;70.0;3;2017;0;;;1363513;5761.0;0.0;2408;6224585
4848;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;22060;0;3/7/2017 0:00;20.0;0.0;20.0;3;2017;0;;;1363513;5761.0;0.0;2408;6224595
4849;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;2264;0;3/16/2017 0:00;100.0;0.0;100.0;3;2017;0;;;1366566;5788.0;0.0;2408;6232171
4850;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;23983;0;4/11/2017 0:00;50.0;0.0;50.0;4;2017;0;;;1375950;5819.0;0.0;2408;6260887
4851;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;33029;0;4/24/2017 0:00;50.0;0.0;50.0;4;2017;0;;;1382670;5833.0;0.0;2408;6273923
4852;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;43769;0;5/5/2017 0:00;50.0;0.0;50.0;5;2017;0;;;1387115;5844.0;0.0;2408;6287354
4853;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;307000000000.0;78762;0;6/13/2017 0:00;160.23;0.0;160.23;6;2017;0;;;1399506;5890.0;0.0;2408;6323087
